,geometry,toponyms,value_counts
237,POINT (44.66088 42.2133),['السرير'],
238,POINT (47.09845 34.32388),"['قرماسين', 'قرميسين']",
239,POINT (36.27118 35.67547),['حصن برزوية'],
240,POINT (52.34306 27.69666),['سيراف'],
241,POINT (38.77933 35.60242),['الرصافة'],
243,POINT (37.10415 34.26231),['حوارين'],
244,POINT (35.52565 32.92434),['جب يوسف'],
245,POINT (36.16107 36.86458),"['تينات', 'حصن التينات']",
246,POINT (69.69790999999999 41.59198),['خرغانكث'],
247,POINT (58.87551 32.77833),['خوست'],
248,POINT (-6.32886 38.89521),['ماردة'],
249,POINT (52.85141 28.88488),['ميمند'],
250,POINT (45.13019 49.20301),['نهر اتل'],
251,POINT (51.61984 35.08576),['دير الجص'],
252,POINT (13.18997 38.15105),['قرينش'],
253,POINT (36.33244 34.19007),['لبوة'],
254,POINT (37.15494 31.51278),['المحدثة'],
255,POINT (30.827 31.23866),['تيدة'],
256,POINT (49.27004 34.41215),['خنداب'],
257,POINT (40.68003 21.733),['اوطاس'],
258,POINT (-5.48272 37.14029),['مورور'],
259,POINT (-5.33071 36.16752),['جزيرة جبل طارق'],
260,POINT (51.17294 29.42208),"['توز', 'توج !']",
261,POINT (50.73914 31.53831),"['لوردجان', 'اللورجان']",
262,POINT (-0.41486 39.43516),['بلنسية'],
263,POINT (-5.96199 37.4079),['اشبيلية'],
264,POINT (61.47492 37.03409),['تلستانة'],
265,POINT (57.8469 36.5805),"['مهرجان', 'مهرجان']",
