place,geometry,toponyms,value_counts
Q20302562,Point(43.797777777 17.025277777),['الجديدة'],2.0
Q20302558,Point(44.3125 16.723055555),['الجديدة'],2.0
Q20302561,Point(42.740833333 15.536388888),['الساحل'],2.0
Q20302565,Point(43.321944444 17.435),['الساحل'],2.0
Q20302267,Point(43.796388888 16.865833333),['السعدية'],2.0
Q20304330,Point(44.828333333 16.838333333),['البحرة'],2.0
Q20303675,Point(45.341944444 14.658333333),['الجديدة'],2.0
Q20306868,Point(43.461666666 17.426388888),['صفوان'],2.0
Q20303669,Point(45.288611111 14.418611111),['الجديدة'],2.0
Q20305307,Point(43.728611111 16.169722222),['التركي'],2.0
Q20305005,Point(43.210833333 16.121666666),['حجر'],2.0
Q20305010,Point(45.4175 14.655833333),['حجر'],2.0
Q20300033,Point(43.724166666 16.203055555),['الحمراء'],2.0
Q20302697,Point(44.165555555 16.919444444),['السلامية'],2.0
Q20303414,Point(43.976666666 13.191944444),['السبيل'],2.0
Q20300045,Point(44.473888888 16.655833333),['الحمراء'],2.0
Q20299393,Point(43.372777777 16.919166666),['كركر'],2.0
Q15274187,Point(36.02 33.28),['سعسع'],2.0
Q3126511,Point(7.95305556 35.44833333),['الحمامات'],2.0
Q5645553,Point(2.990833333 36.813333333),['الحمامات'],2.0
Q677211,Point(31.35 30.683333),"['كفر المقدام', 'الدقهلية', 'كفر المقدام']",2.0
Q5212010,Point(31.3273 30.8072),"['دماص', 'الدقهلية, قريه دماص', 'دماص']",2.0
Q1649000,Point(7.9764605 36.6740296),['عصفور'],2.0
Q4116473,Point(31.7826 31.1429),"['كردي, الكردى, الكردى دقهلية, الكردي, مدينة الكردى', 'الدقهلية', 'الكردي', 'الدقهلية']",2.0
Q4118346,Point(36.36666667 33.5),['كفر بطنا'],2.0
Q12246499,Point(31.222611111 30.82665),"['ميت دمسيس وكفر ابو جرج', 'الدقهلية, ميت دمسيس وكفرابوجرج', 'الدقهلية', 'ميت دمسيس']",2.0
Q12225536,Point(44.18502 13.365),"['الشرف', 'عزلة الشرف']",2.0
Q4702464,Point(37.08722222 35.31555556),['الحمراء'],2.0
Q4860647,Point(43.93333333 15.41666667),['الحمراء'],2.0
Q12221870,Point(31.470594 30.909982),"['زهايرة, طماى الزهايرة, طماى الزهايرة', 'الدقهلية', 'طماي الزهايرة']",2.0
Q4702435,Point(48.35 16.05),['الهدة'],2.0
Q17400639,Point(37.16361111 35.27972222),['الجديدة'],2.0
Q3543429,Point(45.333333333 25.916666666),"['حرمه', 'حرمة']",2.0
Q12227460,Point(36.006944 33.185),['عقربا'],2.0
Q2618734,Point(44.362222222 33.0675),"['المحموديه, قضاء المحمودية', 'المحمودية']",2.0
Q17355661,Point(36.536944 35.282222),['الجديدة'],2.0
Q990427,Point(42.449722222 36.379166666),"['تل اعفر', 'تلعفر']",2.0
Q4703972,Point(38.87444444 23.93666667),['الحمراء'],2.0
Q5640273,Point(39.7303 23.0178),['حجر'],2.0
Q16119808,Point(37.266388888 36.617222222),['الجديدة'],2.0
Q16128137,Point(36.991944444 36.542777777),['المالكية'],2.0
Q17375080,Point(36.377778 35.4675),['الحمراء'],2.0
Q97291599,Point(39.7031137 21.626921),['الجموم'],2.0
Q97291341,Point(45.252777777 25.248333333),['شقراء'],2.0
Q2603127,Point(42.082242 37.103053),['المالكية'],2.0
Q17397715,Point(37.10972222 35.00638889),['السبيل'],2.0
Q4117120,Point(55.213169444 25.144511111),"['المنارة, دبي', 'المنارة']",2.0
Q12193780,Point(35.473416666 33.894888888),"['المناره بيروت, منطقة المنارة', 'المنارة']",2.0
Q4166337,Point(32.05 26.266666666),"['اولاد طوق شرق, اولاد طوق شرق, مدينة دار السلام سوهاج', 'دار السلام']",2.0
Q1938572,Point(30.5242 31.1839),['المحمودية'],2.0
Q12185444,Point(36.066944444 34.533611111),['الجديدة'],2.0
Q3495189,Point(50.487777777 26.100833333),"['مالكية, المالكيه, قرية المالكية, مالكيةبحرين', 'المالكية']",2.0
Q951186,Point(30.983333333 30.3),['اشمون'],2.0
Q3276830,Point(3.53527778 36.35138889),"['مغراوة المدية', 'مغراوة']",2.0
Q848638,Point(68.269166666 43.301944444),['تركستان'],2.0
Q26201102,Point(59.316667 22.4),['طي'],2.0
Q4703978,Point(55.498333333 25.480833333),['الحمرية'],1.0
Q4117465,Point(55.302338888 25.2589),['الحمرية'],1.0
Q12225539,Point(44.47893 15.48855),"['الشرفة', 'عزلة الشرفة']",1.0
Q20305956,Point(43.269722222 17.244444444),['بادية'],1.0
Q12225468,Point(44.0395 13.12654),"['الزعازع', 'عزلة الزعازع']",1.0
Q20303040,Point(43.608888888 15.893611111),['المغاربة'],1.0
Q17355684,Point(36.57555556 35.34),['الزكاة'],1.0
Q12225942,Point(44.27426 14.05673),"['المنار', 'عزلة المنار']",1.0
Q17408205,Point(36.3283 34.9911),"['الشميسة', 'الشمسية']",1.0
Q20304801,Point(43.448333333 16.313611111),['الشرفة'],1.0
Q17366540,Point(37.45527778 35.41888889),"['الجاكوسية حماة', 'الجامع']",1.0
Q126084,Point(35.083888888 32.926111111),"['عكو, مدينة عكا', 'عكا']",1.0
Q17374986,Point(40.80333333 34.68722222),['العباس'],1.0
Q2829205,Point(35.125394444 32.497963888),['العريان'],1.0
Q2915655,Point(34.9518 32.153530555),"['جلجولي', 'جلجولية']",1.0
Q12225945,Point(44.33039 15.91319),"['المنصور', 'عزلة المنصور']",1.0
Q2916872,Point(35.390997222 32.614291666),"['الناعوره, قرية الناعورة', 'الناعورة']",1.0
Q12225446,Point(43.50095 14.22228),"['الركب', 'عزلة الركب']",1.0
Q3049927,Point(5.59694444 34.79027778),['الحاجب'],1.0
Q21743342,Point(36.161111 35.798889),['اليونسية'],1.0
Q2962895,Point(7.55407 36.72057),['الشرفة'],1.0
Q2964506,Point(4.3307 36.3617),['الشرفة'],1.0
