"place","enLabel","placeLabel","toponyms","geometry","typeLabel","country"
"Q6731336","Seraya","سرايا الناصرة","سرايا الناصرة","Point(35.2983 32.7039)","government building","Q801"
"Q12242712","Al Jarina mosque","مسجد الجرينة","مسجد الجرينة","Point(35.0022161 32.81663747)","mosque","Q801"
"Q2744462","Belz Beis HaMedrash HaGadol","كنيس بلز الكبير","كنيس الكبير بلز، كنيس بلز الكبير","Point(35.20760833 31.79712222)","synagogue","Q801"
"Q7183982","Tankizyya","المدرسة التنكزية","المدرسة التنكزية","Point(35.23402778 31.77722222)","synagogue","Q801"
"Q1124878","St. Joseph's Church","كنيسة القديس يوسف","كنيسة القديس يوسف","Point(35.29839 32.70313)","church building","Q801"
"Q1151121","Al Zaghir Mosque, Haifa","المسجد الصغير","المسجد الصغير","Point(35.00354648 32.81494233)","mosque","Q801"
"Q6675482","Jabaliya Mosque","مسجد الجبلية","مسجد الجبلية","Point(34.74777778 32.0375)","mosque","Q801"
"Q1151525","Hurva Synagogue","كنيس الخراب","كنيس الخراب","Point(35.23135 31.7751)","synagogue","Q801"
"Q2786561","White mosque","المسجد الابيض في الرملة","المسجد الابيض في الرملة","Point(34.866 31.9276)","mosque","Q801"
"Q6984578","Nebi Akasha Mosque","مسجد النبي عكاشة","مسجد النبي عكاشة","Point(35.21816667 31.78541667)","mosque","Q801"
"Q2916686","Great Synagogue","الكنيس الكبير","الكنيس الكبير","Point(34.77222222 32.06444444)","main synagogue","Q801"
"Q1280775","Great Mosque of Ramla","الجامع الكبير","الجامع الكبير","Point(34.875063 31.925019)","minor basilica","Q801"
"Q663745","Alexander's Court","كنيسة الكسندر نيفسكي","كنيسة الكسندر نيفسكي","Point(35.230555555 31.778055555)","monastery","Q801"
"Q204200","Cavern of the Patriarchs","المسجد الابراهيمي","Cave of the Patriarchs, الحرم الابراهيمي, المسجد الابراهيمي, حرم ابراهيمي, حرم ابراهيمي, مسجد ابراهيمي, مسجد ابراهيمي، المسجد الابراهيمي","Point(35.110758333 31.524672222)","mausoleum","Q801"
"Q2898907","Al-Bahr Mosque","مسجد البحر","مسجد البحر","Point(34.75277778 32.05555556)","mosque","Q801"
"Q2603790","White Mosque","المسجد الابيض في الناصرة","المسجد الابيض في الناصرة","Point(35.29757 32.70348)","mosque","Q801"
"Q2908313","Al-Muallaq Mosque","المسجد المعلق","المسجد المعلق","Point(35.068963 32.920849)","mosque","Q801"
