,index,value_counts
637,سبط الزبير,2
626,برددارية,2
636,دار,2
635,جانم,2
634,والقيسارية,2
633,بندره,2
632,الطريني,2
631,قرقماس,2
630,وقوص,2
629,التركي,2
628,العجمي,2
627,الاستادار,2
702,بالقابون,2
640,المخا,2
704,التربة الNOAN,2
769,برزه,2
779,أنشآه,2
778,حارة,2
777,ك+ بغداد,2
776,للزمامية,2
775,للمحرقية,2
774,بيت الله,2
773,عساس,2
772,بلولة,2
771,كفر بطنا,2
770,كركر,2
768,مكة بطالا,2
755,بالمرجوشية,2
766,والخروبية,2
765,بدماص,2
764,قليشان,2
763,الموحدة,2
762,عينتاب,2
761,هولاكو,2
760,حدره البقر,2
759,الحدس,2
758,الخطارة,2
757,رأس العين,2
780,سبيل المؤمني,2
781,البردبكية,2
782,طرخانا,2
783,جلجوليا,2
804,ك+ الهند,2
803,مكة المدينة,2
705,أروي,2
802,بعدان,2
801,دابول,2
800,والبرلس,2
799,هوت,2
798,تربة قجماس,2
797,منية عقبة,2
796,قرآ,2
795,أحمداباد,2
794,بزفتا,2
793,قبة الصالح,2
792,بالحبانية,2
791,قبة المنصورية,2
790,بني نصر,2
789,العناب,2
788,أوسط,2
787,حكر,2
786,الملك,2
785,العدل,2
756,أبهه,2
784,القرآن,2
754,زائدة,2
730,البحرة,2
728,منية الشيرج,2
727,الشعرية,2
726,الشاوية,2
725,يمكة,2
724,اربل,2
723,الساباط,2
722,ك+ إسكندرية,2
721,بقيسارية,2
720,نزر,2
719,بسيوط,2
718,اشقتمر,2
716,إشبيلية,2
715,قراقجا,2
714,قلائل,2
713,وبالشيخونية,2
712,أر,2
711,تفهنا,2
710,ميم,2
709,بالبندقدارية,2
753,الدارقطني,2
708,الخراطين,2
707,أيام,2
706,بالنويرة,2
729,بالختنية,2
717,النويرة,2
731,البدر,2
742,همزة,2
749,بطلخا,2
732,المدرج,2
748,بدران,2
747,تركستان,2
746,اشمون,2
745,لقس,2
750,ثور,2
743,بسمهود,2
752,الضم,2
744,ك+ الكوت,2
741,مر,2
736,تربة البيبرسية,2
733,باخطاب,2
740,بساط,2
734,والباسطية,2
735,السودونية,2
751,الاذرعي,2
737,الحمامات,2
738,قلعة الروم,2
739,المحمودية,2
2414,بمرعش,1
2413,بابوصير,1
2411,الدار المصرية,1
2410,لكالكوت,1
2416,القطب,1
2409,بسلماس,1
2408,الريحانية,1
2415,أسباط,1
2407,القبلة,1
2406,بالصيرمية,1
2405,دير العشاري,1
2404,أشباه,1
2412,خيانة,1
2395,الحجر الأسود,1
2403,أم خنان,1
2393,الصلحاء,1
2390,الحمرية,1
2418,الكشكشي,1
2389,باخودة,1
2388,الخرم,1
2391,شام,1
2392,اويداني,1
2394,سويين,1
2402,أو,1
2396,باب حزودة,1
2397,التتر,1
2398,بخاناه,1
2399,بالحاجبية,1
2400,تل حنين,1
2401,عزار,1
2417,لفارسكور,1
2439,النهرين,1
2419,بشفتراش,1
2435,المهمندار,1
2448,ضرير,1
2447,بقرقماس,1
2386,جبل جرجرا,1
2446,لدماص,1
2445,ودركو,1
2444,دركوا,1
2443,كازو,1
2442,بسجستان,1
2441,كباس,1
2440,والانكحة,1
2438,صلاح,1
2437,تربة ماملا,1
2436,الجبل التحتاني,1
2434,أوراس,1
2420,دار الأمارة,1
2433,بكرك,1
2432,المغاربة,1
2431,وادي مرفي,1
2430,بالصبانيين,1
2429,صهريج,1
2428,الطائل,1
2427,كربال,1
2426,بجوخا,1
2425,بقاوان,1
2424,بالمحموية,1
2423,بسواسوا,1
2422,أشهر,1
2421,الجودرية,1
2387,بالكدرا,1
2337,بشبرا,1
2385,قبر عاتكة,1
2352,دحيبات,1
2350,جاوز,1
2349,القصور,1
2348,بالحصني,1
2347,بالحظارة,1
2346,ببوصير,1
2345,أمليه,1
2344,بالجلوم,1
2343,الجراونة,1
2342,جيربك,1
2341,الشمائل,1
2340,البقاع العزيزي,1
2339,عكار,1
2338,الشخيونية,1
2336,نادر الحبشة,1
2335,جحد,1
2334,كلبرة,1
2333,خط سويقه,1
2332,بزببيد,1
2331,زنكلون,1
2330,بالمعلان,1
2329,لصرغل,1
2328,بعسفان,1
2327,الشاذبختية,1
2326,خانكتها,1
2325,الست طغاي,1
2324,وباقراسنقرية,1
2323,الصغاني,1
2322,بابشيط,1
2450,مأنوس,1
2351,بالرخاصي,1
2353,دمتا,1
2384,أر الهرموزي,1
2354,قلعتها,1
2383,بائشام,1
2382,درب السباع,1
2381,قطلوبغا,1
2380,بيت الشمس,1
2379,بالابرقين,1
2378,الشمس الجوجري,1
2377,للبلاطنسي,1
2376,العمى,1
2375,أحضر,1
2374,والخشقدمية,1
2373,الإمضاء,1
2372,القوت,1
2371,بمليج,1
2370,بشردمة,1
2369,ألسها,1
2368,قفر,1
2367,الجسر الأبيض,1
2366,حسن,1
2365,بتبوك,1
2364,المغنم,1
2363,بن سلسل,1
2362,مسه,1
2361,هلمان,1
2360,ابن رسلان,1
2359,قافين,1
2358,رجب,1
2357,العكرشه,1
2356,قيصريه,1
2355,بشبيش,1
2449,بعجرود,1
2551,زبيري,1
2451,مغراوة,1
2548,وطنان,1
2546,بسندفا,1
2545,رامست,1
2544,علاء,1
2543,التيمم,1
2542,ربيع الأول,1
2541,بمنا,1
2540,فارتاش,1
2539,المسجد المكي,1
2538,كتانه,1
2537,بالشخونية,1
2536,الطنتدي,1
2535,كرك نوح,1
2534,الكوم الريشي,1
2533,الازلم,1
2532,الريش,1
2531,بنب,1
2530,شقرا,1
2529,المحرم,1
2528,الترجمان,1
2527,حانوت الطارمة,1
2526,المقارزة,1
2525,يسألونك,1
2524,بشوايط,1
2523,الشمس الغراقي,1
2522,أقوابا,1
2521,ك+ لمز,1
2520,تربة الظاهر,1
2519,منية القمص,1
2518,وبارنبار,1
2547,أعراب,1
2549,ك+ الينبوع,1
2452,البساصية,1
2550,حلس,1
2579,بها,1
2578,بالمواليا,1
2577,الأعجام,1
2576,رغبة الشمس الطنتدائي,1
2575,وبيدمر,1
2574,بردما,1
2573,الخراز,1
2572,البحر بورك,1
2571,دهرا,1
2570,البياطرة,1
2569,التربة الجانبكية,1
2568,وبالبدرية,1
2567,شيخنا,1
2566,المارستان,1
2565,السماط,1
2564,طبلاوة,1
2563,الجعبرية,1
2562,بشنفاس,1
2561,ونطوبس,1
2560,ببانقوسا,1
2559,الخراربة,1
2558,السنن,1
2557,السويس,1
2556,حب,1
2555,بالسوكة,1
2554,بيت الزرندي,1
2553,بحر السلسلة,1
2552,ك+ دمشق,1
2320,خطبة,1
2517,بمندة,1
2516,المملكة اليمنية,1
2515,ندمائه,1
2514,العريبة,1
2481,ماليخوليا,1
2480,دلجة,1
2479,منية غمرو,1
2478,بطوخ بني مزيد,1
2477,بجردمرد,1
2476,ترخان,1
2475,القصب,1
2474,التحتاني,1
2473,سراي,1
2472,تربتها,1
2471,لشاروخ,1
2470,خروبيتها,1
2469,اشليم,1
2468,سمنديل,1
2467,باب على,1
2466,الأسطوانة,1
2465,خري,1
2464,زمان,1
2463,المختار,1
2462,بتبرين,1
2461,محراب,1
2460,بليانة,1
2459,لبسكرة,1
2458,ادكوبا,1
2457,الخزن,1
2456,ك+ تربة,1
2455,الحزورة,1
2454,الأسمر,1
2453,بحسينية,1
2482,بالخروبية البدرية,1
2483,والزينية,1
2484,ميمين,1
2500,الطائفة,1
2513,مورع,1
2512,مضيق,1
2511,باب الحبسة,1
2510,سفح,1
2509,باذرعات,1
2508,بالبشتكية,1
2507,سمهود,1
2506,كنهايت,1
2505,بزاز,1
2504,نعير,1
2503,رمله,1
2502,الرحمة,1
2501,الطولونية,1
2499,بقنا,1
2485,مهملتين,1
2498,بالخواص,1
2497,مندوه,1
2496,خولان الرازحي,1
2495,الحريق,1
2494,رباط الخوزي,1
2493,الديلمي,1
2492,ببنجالة,1
2491,صاروجا,1
2490,السليمانية,1
2489,الجانبكية,1
2488,البساتين,1
2487,جاهنشاه,1
2486,بلكتمر,1
2321,خماس,1
2219,بطبلخاناه,1
2319,كوران,1
2154,لارنبغا,1
2152,جزيرة بني نصر,1
2151,بلودره,1
2150,الشق,1
2149,بندركهنايت,1
2148,لصافور,1
2147,الدولة,1
2146,نخل,1
2145,ازدمر الأزبكي,1
2144,بدر والينبع,1
2143,وواسط,1
2142,بحر الظلمات,1
2141,الميم,1
2140,جيرون,1
2139,البهلوان,1
2138,وجرباش,1
2137,بهستا,1
2136,بالاحساد,1
2135,بالسنجارية,1
2134,بصرفند,1
2133,صرفند,1
2132,عود,1
2131,بالخرية,1
2130,بالقفيلينسبة,1
2129,بمنوفوقرا,1
2128,باعونة,1
2127,وباعون,1
2126,السلامى,1
2125,الجمال,1
2124,مستنصريتها,1
2153,بجرجة,1
2155,آخر العقيبة,1
2187,صرخد,1
2156,بالقحزية,1
2185,سعد,1
2184,لتمرلنك,1
2183,خواتيم,1
2182,السيفي,1
2181,العنبريين,1
2180,بنى غالب,1
2179,ك+ جازان,1
2178,عيداب,1
2177,الخرازين,1
2176,بسنيكة,1
2175,الشوابكة,1
2174,بورسا,1
2173,درب الNOAN,1
2172,عمائر,1
2171,الجزيرة القبلية,1
2170,سرسة,1
2169,زاوية القادرية,1
2168,لكلبرجة,1
2167,سبيلا,1
2166,ببيرم خجا,1
2165,بالفناري,1
2164,الاستادراية,1
2163,طنبذي,1
2162,العريان,1
2161,مغيلة,1
2160,منية القط,1
2159,الرجع,1
2158,بغا الشمسي,1
2157,باب البرقية,1
2123,بالمستنصرية,1
2122,بمراغة,1
2121,مصرمن,1
2120,باللنكية,1
2087,حنيفة,1
2086,المدينة البنوية,1
2085,بركة الحاج,1
2084,قطيه,1
2083,وبداريا,1
2082,سراي بركة,1
2081,أفلاطون,1
2080,رأى,1
2079,حطيبة,1
2078,سنوت,1
2077,جاكردره,1
2076,جيحون,1
2075,بخجندة,1
2074,أحد,1
2073,كفة,1
2072,المدائن,1
